Transaction ID,Day,Month,Year,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model
1,1/8/1900,1/9/1900,7/13/1905,Sat,Xiaomi,6,10174.7,Lalita Ahuja,38,Ludhiana,UPI,5,Redmi Note 10
2,1/8/1900,1/9/1900,7/13/1905,Saturday,Vivo,6,10565.19,Sneha Sharma,37,Delhi,Credit Card,3,Vivo Y51
3,1/8/1900,1/9/1900,7/13/1905,Saturday,Vivo,8,58527.58,Radha Srivastava,40,Mumbai,UPI,5,Vivo S1
4,1/9/1900,1/9/1900,7/13/1905,Sunday,Xiaomi,5,25563.98,Bhavana Arora,21,Mumbai,Credit Card,4,Mi 11
5,1/9/1900,1/9/1900,7/13/1905,Sunday,OnePlus,3,48168.02,Sneha Mehta,38,Gorakhpur,Cash,5,OnePlus 9
6,1/9/1900,1/9/1900,7/13/1905,Sunday,Samsung,3,37252.87,Reena Mehta,38,Jodhpur,UPI,3,Galaxy Note 20
7,1/9/1900,1/9/1900,7/13/1905,Sun,OnePlus,6,61805.8,Pankaj Alva,18,Delhi,Cash,4,OnePlus Nord
8,1/10/1900,1/9/1900,7/13/1905,Monday,Apple,2,65017.67,Mala Rawat,32,Vadodara,Cash,3,iPhone 12
9,1/10/1900,1/9/1900,7/13/1905,Mon,Vivo,6,69808.46,Pankaj Varma,34,Delhi,UPI,5,Vivo Y51
10,1/10/1900,1/9/1900,7/13/1905,Monday,Samsung,6,19221.05,Yogesh Sharma,31,Mumbai,Debit Card,2,Galaxy A51
11,1/11/1900,1/9/1900,7/13/1905,Tuesday,Samsung,8,61777.84,Radha Sharma,36,Madurai,Credit Card,5,Galaxy A51
12,1/11/1900,1/9/1900,7/13/1905,Tuesday,Apple,7,25961.28,Namita Roy,51,Delhi,UPI,4,iPhone 12
13,1/11/1900,1/9/1900,7/13/1905,Tuesday,Apple,8,45448.95,Ramesh Joshi,23,Mumbai,Cash,5,iPhone 12
14,1/12/1900,1/9/1900,7/13/1905,Wed,Xiaomi,9,40346.37,Arun Iyer,23,Hyderabad,Credit Card,2,Redmi Note 10
15,1/12/1900,1/9/1900,7/13/1905,Wednesday,Vivo,6,11079.29,Manoj Siddiqui,22,Chennai,Cash,5,Vivo V20
16,1/12/1900,1/9/1900,7/13/1905,Wednesday,Vivo,3,65966.28,Anjali Gupta,24,Mumbai,Credit Card,2,Vivo Y51
17,1/13/1900,1/9/1900,7/13/1905,Thursday,OnePlus,3,14699.62,Ramesh Rao,50,Coimbatore,UPI,4,OnePlus Nord
